"filename", "language", "JSON", "Markdown", "JavaScript", "CSS", "HTML", "comment", "blank", "total"
"d:\Projects\Advenro\Advenro\README.md", "Markdown", 0, 203, 0, 0, 0, 0, 59, 262
"d:\Projects\Advenro\Advenro\package.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 7
"d:\Projects\Advenro\Advenro\src\components\reviews\review-form.html", "HTML", 0, 0, 0, 0, 108, 0, 13, 121
"d:\Projects\Advenro\Advenro\src\controllers\destinationController.js", "JavaScript", 0, 0, 140, 0, 0, 28, 24, 192
"d:\Projects\Advenro\Advenro\src\controllers\hotel.controller.js", "JavaScript", 0, 0, 6, 0, 0, 0, 1, 7
"d:\Projects\Advenro\Advenro\src\controllers\paymentController.js", "JavaScript", 0, 0, 110, 0, 0, 24, 26, 160
"d:\Projects\Advenro\Advenro\src\controllers\userBookingsController.js", "JavaScript", 0, 0, 386, 0, 0, 51, 54, 491
"d:\Projects\Advenro\Advenro\src\controllers\userFavoritesController.js", "JavaScript", 0, 0, 91, 0, 0, 21, 17, 129
"d:\Projects\Advenro\Advenro\src\css\payment.css", "CSS", 0, 0, 0, 88, 0, 0, 13, 101
"d:\Projects\Advenro\Advenro\src\js\payment.js", "JavaScript", 0, 0, 186, 0, 0, 19, 35, 240
"d:\Projects\Advenro\Advenro\src\js\userReviews.js", "JavaScript", 0, 0, 7, 0, 0, 0, -1, 6
"d:\Projects\Advenro\Advenro\src\middleware\error.js", "JavaScript", 0, 0, 19, 0, 0, 7, 5, 31
"d:\Projects\Advenro\Advenro\src\models\Favorite.js", "JavaScript", 0, 0, 48, 0, 0, 1, 4, 53
"d:\Projects\Advenro\Advenro\src\pages\PaymentPage.js", "JavaScript", 0, 0, -130, 0, 0, -2, -15, -147
"d:\Projects\Advenro\Advenro\src\pages\user-favorites.html", "HTML", 0, 0, 0, 0, -14, -1, -1, -16
"d:\Projects\Advenro\Advenro\src\pages\user-notifications.html", "HTML", 0, 0, 0, 0, -14, -1, -1, -16
"d:\Projects\Advenro\Advenro\src\pages\user-reviews.html", "HTML", 0, 0, 0, 0, -14, -1, -1, -16
"d:\Projects\Advenro\Advenro\src\routes\destinations.js", "JavaScript", 0, 0, 11, 0, 0, 9, 4, 24
"d:\Projects\Advenro\Advenro\src\routes\payments.js", "JavaScript", 0, 0, 7, 0, 0, 2, 3, 12
"d:\Projects\Advenro\Advenro\src\routes\users.js", "JavaScript", 0, 0, 27, 0, 0, 20, 9, 56
"d:\Projects\Advenro\Advenro\src\server.js", "JavaScript", 0, 0, 29, 0, 0, 5, 5, 39
"d:\Projects\Advenro\Advenro\src\utils\appResponse.js", "JavaScript", 0, 0, 37, 0, 0, 30, 5, 72
"d:\Projects\Advenro\Advenro\test\api-connections.js", "JavaScript", 0, 0, 145, 0, 0, 27, 37, 209
"d:\Projects\Advenro\Advenro\test\api-structure.js", "JavaScript", 0, 0, 142, 0, 0, 11, 31, 184
"d:\Projects\Advenro\Advenro\test\basic-test.js", "JavaScript", 0, 0, 11, 0, 0, 4, 4, 19
"d:\Projects\Advenro\Advenro\test\core-api-test.js", "JavaScript", 0, 0, 75, 0, 0, 8, 10, 93
"d:\Projects\Advenro\Advenro\test\e2e-test.js", "JavaScript", 0, 0, 614, 0, 0, 65, 91, 770
"d:\Projects\Advenro\Advenro\test\frontend-structure.js", "JavaScript", 0, 0, 103, 0, 0, 9, 24, 136
"d:\Projects\Advenro\Advenro\test\unit\controllers\bookingCom.test.js", "JavaScript", 0, 0, 3, 0, 0, 0, 1, 4
"Total", "-", 7, 203, 2067, 88, 66, 336, 456, 3223
