"filename", "language", "JavaScript", "JSON", "Markdown", "PowerShell", "Docker", "Shell Script", "HTML", "CSS", "Batch", "YAML", "comment", "blank", "total"
"d:\Projects\Advenro\Advenro\CONTRIBUTING.md", "Markdown", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 27, 93
"d:\Projects\Advenro\Advenro\DEPLOYMENT-GUIDE.md", "Markdown", 0, 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 54, 253
"d:\Projects\Advenro\Advenro\DOCKER-DEPLOYMENT.md", "Markdown", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 21, 71
"d:\Projects\Advenro\Advenro\Dockerfile", "Docker", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 4, 5, 16
"d:\Projects\Advenro\Advenro\MOCK-SERVER-README.md", "Markdown", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 41, 111
"d:\Projects\Advenro\Advenro\README-TESTING.md", "Markdown", 0, 0, 232, 0, 0, 0, 0, 0, 0, 0, 0, 79, 311
"d:\Projects\Advenro\Advenro\README.md", "Markdown", 0, 0, 331, 0, 0, 0, 0, 0, 0, 0, 0, 101, 432
"d:\Projects\Advenro\Advenro\TROUBLESHOOTING.md", "Markdown", 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 42, 158
"d:\Projects\Advenro\Advenro\backup\html\src_client\about.html", "HTML", 0, 0, 0, 0, 0, 0, 247, 0, 0, 0, 17, 9, 273
"d:\Projects\Advenro\Advenro\backup\html\src_client\booking-confirmation.html", "HTML", 0, 0, 0, 0, 0, 0, 209, 0, 0, 0, 20, 12, 241
"d:\Projects\Advenro\Advenro\backup\html\src_client\contact.html", "HTML", 0, 0, 0, 0, 0, 0, 223, 0, 0, 0, 18, 8, 249
"d:\Projects\Advenro\Advenro\backup\html\src_client\dashboard.html", "HTML", 0, 0, 0, 0, 0, 0, 253, 0, 0, 0, 18, 11, 282
"d:\Projects\Advenro\Advenro\backup\html\src_client\deals.html", "HTML", 0, 0, 0, 0, 0, 0, 209, 0, 0, 0, 16, 9, 234
"d:\Projects\Advenro\Advenro\backup\html\src_client\destination-details.html", "HTML", 0, 0, 0, 0, 0, 0, 264, 0, 0, 0, 32, 19, 315
"d:\Projects\Advenro\Advenro\backup\html\src_client\destinations.html", "HTML", 0, 0, 0, 0, 0, 0, 167, 0, 0, 0, 22, 13, 202
"d:\Projects\Advenro\Advenro\backup\html\src_client\faq.html", "HTML", 0, 0, 0, 0, 0, 0, 358, 0, 0, 0, 17, 16, 391
"d:\Projects\Advenro\Advenro\backup\html\src_client\hotel-details.html", "HTML", 0, 0, 0, 0, 0, 0, 265, 0, 0, 0, 26, 14, 305
"d:\Projects\Advenro\Advenro\backup\html\src_client\hotels.html", "HTML", 0, 0, 0, 0, 0, 0, 261, 0, 0, 0, 25, 14, 300
"d:\Projects\Advenro\Advenro\backup\html\src_client\index.html", "HTML", 0, 0, 0, 0, 0, 0, 194, 0, 0, 0, 16, 8, 218
"d:\Projects\Advenro\Advenro\backup\html\src_client\login.html", "HTML", 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 10, 10, 163
"d:\Projects\Advenro\Advenro\backup\html\src_client\profile.html", "HTML", 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 3, 7, 127
"d:\Projects\Advenro\Advenro\backup\html\src_client\register.html", "HTML", 0, 0, 0, 0, 0, 0, 187, 0, 0, 0, 10, 14, 211
"d:\Projects\Advenro\Advenro\backup\html\src_client\reset-password.html", "HTML", 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 10, 9, 161
"d:\Projects\Advenro\Advenro\backup\html\src_client\terms.html", "HTML", 0, 0, 0, 0, 0, 0, 176, 0, 0, 0, 15, 24, 215
"d:\Projects\Advenro\Advenro\booking-proxy.js", "JavaScript", 392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 40, 469
"d:\Projects\Advenro\Advenro\demand-api.json", "JSON", 0, 13414, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13414
"d:\Projects\Advenro\Advenro\deploy.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"d:\Projects\Advenro\Advenro\deploy.sh", "Shell Script", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 6, 5, 21
"d:\Projects\Advenro\Advenro\deployment\DEPLOYMENT-GUIDE.md", "Markdown", 0, 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 54, 253
