"filename", "language", "HTML", "Markdown", "JavaScript", "PowerShell", "CSS", "Shell Script", "JSON", "Batch", "YAML", "Docker", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\CONTRIBUTING.md", "Markdown", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 93
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\DEPLOYMENT-GUIDE.md", "Markdown", 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 253
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\DOCKER-DEPLOYMENT.md", "Markdown", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 71
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 4, 5, 16
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\MOCK-SERVER-README.md", "Markdown", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 111
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\README-TESTING.md", "Markdown", 0, 232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 311
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\README.md", "Markdown", 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 243
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\TROUBLESHOOTING.md", "Markdown", 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 158
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\app.js", "JavaScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 71
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\components\SearchBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 162, 16, 18, 196
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\controllers\admin.controller.js", "JavaScript", 0, 0, 323, 0, 0, 0, 0, 0, 0, 0, 0, 92, 65, 480
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\controllers\auth.controller.js", "JavaScript", 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 61, 27, 235
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\controllers\bookings.controller.js", "JavaScript", 0, 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 63, 39, 319
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\controllers\events.controller.js", "JavaScript", 0, 0, 403, 0, 0, 0, 0, 0, 0, 0, 0, 64, 48, 515
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\controllers\flights.controller.js", "JavaScript", 0, 0, 445, 0, 0, 0, 0, 0, 0, 0, 0, 76, 44, 565
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\controllers\hotels.controller.js", "JavaScript", 0, 0, 231, 0, 0, 0, 0, 0, 0, 0, 0, 62, 32, 325
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\controllers\local-services.controller.js", "JavaScript", 0, 0, 226, 0, 0, 0, 0, 0, 0, 0, 0, 42, 19, 287
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\controllers\notifications.controller.js", "JavaScript", 0, 0, 212, 0, 0, 0, 0, 0, 0, 0, 0, 58, 29, 299
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\controllers\payments.controller.js", "JavaScript", 0, 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 47, 20, 228
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\controllers\profile.controller.js", "JavaScript", 0, 0, 346, 0, 0, 0, 0, 0, 0, 0, 0, 80, 59, 485
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\controllers\restaurants.controller.js", "JavaScript", 0, 0, 354, 0, 0, 0, 0, 0, 0, 0, 0, 55, 31, 440
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\controllers\reviews.controller.js", "JavaScript", 0, 0, 195, 0, 0, 0, 0, 0, 0, 0, 0, 54, 33, 282
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\controllers\search.controller.js", "JavaScript", 0, 0, 350, 0, 0, 0, 0, 0, 0, 0, 0, 61, 45, 456
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\controllers\support.controller.js", "JavaScript", 0, 0, 297, 0, 0, 0, 0, 0, 0, 0, 0, 79, 46, 422
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\controllers\tours.controller.js", "JavaScript", 0, 0, 468, 0, 0, 0, 0, 0, 0, 0, 0, 84, 52, 604
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\controllers\uploads.controller.js", "JavaScript", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 25, 11, 137
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\controllers\users.controller.js", "JavaScript", 0, 0, 178, 0, 0, 0, 0, 0, 0, 0, 0, 50, 28, 256
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\index.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 23
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\middleware\auth.js", "JavaScript", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 24, 15, 95
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\middleware\auth.middleware.js", "JavaScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 21, 12, 69
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\middleware\error.middleware.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 42
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\middleware\upload.middleware.js", "JavaScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 14, 11, 74
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\routes\admin.routes.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 14, 10, 50
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\routes\auth.routes.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 10, 8, 30
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\routes\bookings.routes.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 27
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\routes\events.routes.js", "JavaScript", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 44, 9, 137
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\routes\flights.routes.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 11, 9, 33
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\routes\hotels.routes.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 10, 8, 30
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\routes\local-services.routes.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 23
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\routes\notifications.routes.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 21
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\routes\payments.routes.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 24
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\routes\profile.routes.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 35
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\routes\restaurants.routes.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 10, 8, 30
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\routes\reviews.routes.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 27
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\routes\search.routes.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 19, 4, 51
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\routes\support.routes.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 24
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\routes\tours.routes.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 25
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\routes\uploads.routes.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 16
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\routes\users.routes.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 25
"c:\Users\Administrator\Desktop\Advenro-V6\Advenro\app\services\AuthService.js", "JavaScript", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 43, 15, 118
